common_voice_fa_18202356.mp3	از هم جداشدن خيلي سخته	az ham jodashodan kheyli sakhte
common_voice_fa_18202357.mp3	بله ، مطمئن باشيد هستم	baleh motmaen baashid hastam
common_voice_fa_18202492.mp3	شما چرا نشستی اینجا هی تر تر می خندی؟	shoma chera neshasti inja hey tar tar mi khandi
common_voice_fa_18202494.mp3	تقریبا صدو پنجاه گز دورتر از جاده	taghriban sado panjah gaz dourtar az jadeh
common_voice_fa_18202496.mp3	من ميدونستم که بالاخره	man midonestam ke balakhare
common_voice_fa_18202497.mp3	هر روز یک دو مداد کش می رفتتم تااین که تا پایان ترم از تمامی دوستانم مداد برداشته بودم	har rouz yek doo medad kesh mi raftanam tain ke ta payan term az tamami doustanam medad bardashte bodam
common_voice_fa_18202498.mp3	ازاده اصلا برو توی همون اتاق بهش بده.	aazaade aslan boro touye hamoon otagh behesh bedeh
common_voice_fa_18204533.mp3	فقط از این طریق، بگفته آنها، میتوان بر بسیاری از ترسهای مرتبط با خبررسانی چیره شد	faghat az in tarigh begofteh aanhaa mitavan boro besiari az tarshaaye mortabet ba khabarresaani chireh shod
common_voice_fa_18204535.mp3	حله حوله انگليسي مزخرف	hale hooleh engelisi mozakhraf
common_voice_fa_18204536.mp3	تو زندگی ما فقط آب و هواس که تغییر میکنه	tou zendegi ma faghat ab o havaas ke takhir mikone
common_voice_fa_18204537.mp3	ترامپ گفته بن سلمان بیشتر از من از جنایت نفرت دارد	trump gofteh ben salman bishtar az man az jenayat nefrat darad
common_voice_fa_18204538.mp3	هوای خوب،بیشتر روزابارونی، وجود حس ارامش و بودن در کنار آدمای خوب	havaaye khoobbishtar rozebarani vojood hes aaraamesh o boudan dar kenar adamaye khob
common_voice_fa_18204554.mp3	چهارده امتیاز داریم و با تیم سوم جدول فقط دو امتیاز فاصله داریم	chahardah emteyaz darim o ba tim sevom jadval faghat doo emteyaz faseleh darim
common_voice_fa_18204555.mp3	اخه برام جالبه اون چیزای که ازشون می شنویم با اون چیزای که خودمون می بینیم.	aakhe baraam jaalebe un chizaai ke azashoun mi shenavim ba un chizaai ke khodemoun mi binim
common_voice_fa_18204556.mp3	مي فهمي که منظورم چيه؟	mi fahmi ke manzouram chiye
common_voice_fa_18204557.mp3	با این آگاهی که دارم،اشتباهم رو تکرار نمیکنم	ba in agahi ke daarameshtebaaham ro tekrar nemikonam
common_voice_fa_18204564.mp3	میگذارید نشان دهم؟» نه	migzarid neshan dahom na
common_voice_fa_18204565.mp3	شلوار کردی پوشیدنای قبل و بعد از تو سوتفاهمی بیش نیست	shalvar kardie poshidanhaye ghabl o bad az tou soetafahomi bish nist
common_voice_fa_18204566.mp3	زانویش را نوازش می کند و اهنگی را زمزمه می کند.	zanouyash ra navazesh mi konad o ahangi ra zemzemeh mi konad
common_voice_fa_18204567.mp3	يه کيف هم دست مي گيره-	ye kif ham dast mi gire
common_voice_fa_18204568.mp3	اون خيلي بد ماساژ ميده	un kheyli bd masaj mide
common_voice_fa_18204594.mp3	در ناامیدی کامل، یک مقاله خواندم در مورد فرهنگ محیط کار سمی و ریزخشونتها	dar naomidi kamel yek maghaleh khandam dar mavared farhange mohit kar sami o rizkhoshounatha
common_voice_fa_18204595.mp3	میدونم یه روز دوباره می تونم تو رو ببینم	midounam ye rouz doubareh mi tonam tou ro bebinam
common_voice_fa_18204596.mp3	میشه کمکش کنیم بره خونه اش؟	misheh komakesh konim bere khuneh ash
common_voice_fa_18204597.mp3	و یا بجای آن، کنجکاوی را جایگزین داوری کنم	o ya bejay on konjkavi ra jaygozin daavari konam
common_voice_fa_18204598.mp3	انسان، بنابه تحقیقات، خود را دست بالا میگیرد در توانایی به خاطر آوردن دقایق مهم احساسی پس از گذشت مدت زمانی	ensan banaabe tahghighat khod ra dast bala migirad dar tavanaei be khater avardan daghaayegh mohem ehsasi pas az gozasht modat zamani
common_voice_fa_18205206.mp3	کمکم کن که به اون چیزی که قسمتمه قانع باشم و بتونم به زندگیم ادامه بدم	komakam kon ke be un chizi ke ghesmatame ghane basham o betunam be zendegim edameh bedam
common_voice_fa_18205207.mp3	فقط ميخام بفهمم که چرا	faghat mikhaam befahmam ke chera
common_voice_fa_18205208.mp3	از کد تخفیف استفاده کن	az kode takhfif estefadeh kon
common_voice_fa_18205209.mp3	من نمیتوانم با آنها جنگ کنم پس بهتر است که خود را زشت و بد شکل کنم تا دست از من بر دارند و در کوه و دشت آزاد باشم	man nemitavaanam ba aanhaa jang konam pas behtaere ast ke khod ra zesht o bd shekl konam ta dast az man boro darand o dar kooh o dasht azad basham
common_voice_fa_18205210.mp3	.تماس شما براي ما مهمه	tamas shoma baraaye ma mohemeh
common_voice_fa_18205271.mp3	بسته بندي کنيد تا برم	baste bandi konid ta beram
common_voice_fa_18205272.mp3	!من جويي هستم! بازيگرم	man joee hastam bazigaram
common_voice_fa_18205274.mp3	کار خوبی می کنی ، افرین.	kar khoobi mi kony aafarin
common_voice_fa_18205275.mp3	که نتوانند کار پیدا کنند	ke natavanand kar peyda konand
common_voice_fa_18205290.mp3	مزدک میرزایی گزارشگر بازی حساس پرسپولیس-کاشیما شد	mazdak mirzaayi gozareshgare bazi hasas perspolis-kaashimaa shod
common_voice_fa_18205291.mp3	بايد بگم اين راحت نيست	baayad begam in rahat nist
common_voice_fa_18205292.mp3	.بيا اينجا ، بيا اينجا	biyaa inja biyaa inja
common_voice_fa_18205294.mp3	وقتی کسی با شما صحبت میکند پیام بدهید	vaghti kasi ba shoma sohbat mikonad payam bedahid
common_voice_fa_18205295.mp3	مرد: آه، عالی	mard aah awli
common_voice_fa_18205303.mp3	من عرضه اين کارو ندارم	man orze in kaaro nadaram
common_voice_fa_18205308.mp3	اما ما خیلی بدجنس بودیم	amma ma kheili badjense boudim
